RuleId,NewRuleId,Phase,Description
등고선구분_Code,THE_CLS_ATR_015,4,등고선구분 코드
면형공항시설구분_Code,THE_CLS_ATR_016,4,면형공항시설구분 코드
면형구조시설구분_Code,THE_CLS_ATR_017,4,면형구조시설구분 코드
면형도로시설구분_Code,THE_CLS_ATR_018,4,면형도로시설구분 코드
면형도로시설위상관계구분_Code,THE_CLS_ATR_019,4,면형도로시설위상관계구분 코드
면형도로시설재질구분_Code,THE_CLS_ATR_020,4,면형도로시설재질구분 코드
면형수로시설구분_Code,THE_CLS_ATR_021,4,면형수로시설구분 코드
면형지형구분_Code,THE_CLS_ATR_022,4,면형지형구분 코드
면형철도시설구분_Code,THE_CLS_ATR_023,4,면형철도시설구분 코드
면형항만시설구분_Code,THE_CLS_ATR_024,4,면형항만시설구분 코드
목장구분_Code,THE_CLS_ATR_025,4,목장구분 코드
보도경계면구분_Code,THE_CLS_ATR_026,4,보도경계면구분 코드
보도구분_Code,THE_CLS_ATR_027,4,보도구분 코드
보도중심선구분_Code,THE_CLS_ATR_028,4,보도중심선구분 코드
분리대유무_Code,THE_CLS_ATR_029,4,분리대유무 코드
사용상태_Code,THE_CLS_ATR_030,4,사용상태 코드
선형공항시설구분_Code,THE_CLS_ATR_031,4,선형공항시설구분 코드
선형구조시설구분_Code,THE_CLS_ATR_032,4,선형구조시설구분 코드
선형도로시설구분_Code,THE_CLS_ATR_033,4,선형도로시설구분 코드
선형도로시설구조구분_Code,THE_CLS_ATR_034,4,선형도로시설구조구분 코드
선형수로시설구분_Code,THE_CLS_ATR_035,4,선형수로시설구분 코드
선형지형구분_Code,THE_CLS_ATR_036,4,선형지형구분 코드
수정측량방법구분_Code,THE_CLS_ATR_037,4,수정측량방법구분 코드
시설구역경계구분_Code,THE_CLS_ATR_038,4,시설구역경계구분 코드
일방통행구분_Code,THE_CLS_ATR_039,4,일방통행구분 코드
자동차전용도로구분_Code,THE_CLS_ATR_040,4,자동차전용도로구분 코드
